id,tema,stevilo_komentarjev,stevilo_ocen_komentarjev,stevilo_pozitivnih,stevilo_negativnih,ocena_novice,stevilo_ocen
386465,zabava,18,45,33,12,1.0,9
385917,zabava,14,23,16,7,3.7,13
386457,zabava,12,13,7,6,1.7,9
386450,zabava,170,780,651,129,2.7,42
386434,zabava,32,214,111,103,3.0,21
386428,zabava,4,1,1,0,4.3,13
386417,zabava,0,0,0,0,1.0,1
386412,zabava,16,24,23,1,3.2,8
385912,zabava,50,231,167,64,2.4,18
386383,zabava,20,27,21,6,3.4,8
386398,zabava,4,15,13,2,3.0,6
386397,zabava,24,60,55,5,1.7,18
386390,zabava,12,9,2,7,2.0,4
386384,zabava,12,15,4,11,1.3,6
386380,zabava,38,237,216,21,1.5,17
386375,zabava,12,33,26,7,2.0,4
386361,zabava,20,32,23,9,5.0,4
386356,zabava,2,0,0,0,4.7,3
386351,zabava,0,0,0,0,4.0,1
386345,zabava,96,532,307,225,3.2,40
386435,zabava,0,0,0,0,2.0,35
386438,zabava,50,169,136,33,2.1,20
386381,zabava,312,1998,1497,501,3.9,63
386345,zabava,96,532,307,225,3.2,40
386277,zabava,62,394,241,153,4.7,42
385738,zabava,0,0,0,0,-1,0
386476,sport,18,10,9,1,5.0,1
386470,sport,58,364,277,87,4.4,16
386468,sport,6,3,3,0,3.7,3
386463,sport,10,10,8,2,5.0,1
386459,sport,20,66,39,27,4.3,6
386449,sport,138,1279,680,599,2.0,23
386444,sport,988,3967,2996,971,4.3,42
334408,sport,32,76,44,32,3.5,6
386430,sport,2,0,0,0,2.3,3
386338,sport,36,94,87,7,4.5,11
386408,sport,68,301,219,82,3.7,15
386409,sport,30,90,62,28,4.2,12
386418,sport,90,391,328,63,4.3,23
386401,sport,86,344,269,75,4.0,22
386406,sport,122,514,426,88,4.5,35
386405,sport,92,362,238,124,4.3,13
386400,sport,0,0,0,0,5.0,3
386394,sport,42,197,145,52,3.8,11
386392,sport,34,126,67,59,2.6,14
386391,sport,18,15,15,0,5.0,10
386435,sport,0,0,0,0,2.0,35
386438,sport,50,169,136,33,2.1,20
386381,sport,312,1998,1497,501,3.9,63
386345,sport,96,532,307,225,3.2,40
386277,sport,62,394,241,153,4.7,42
385738,sport,0,0,0,0,-1,0
386471,tureavanture,14,18,17,1,5.0,2
386366,tureavanture,32,220,142,78,4.5,22
386327,tureavanture,48,198,151,47,1.7,19
386323,tureavanture,58,170,105,65,3.5,13
386311,tureavanture,2,0,0,0,3.9,7
386265,tureavanture,30,50,40,10,4.5,11
385833,tureavanture,30,36,21,15,3.8,20
386105,tureavanture,52,357,232,125,4.7,30
386040,tureavanture,22,50,41,9,2.5,8
386078,tureavanture,4,6,4,2,2.5,11
385832,tureavanture,14,15,12,3,4.3,6
385972,tureavanture,38,114,78,36,4.8,19
385828,tureavanture,52,268,216,52,4.9,59
385650,tureavanture,166,1467,1043,424,3.7,57
385824,tureavanture,96,696,480,216,1.9,36
385813,tureavanture,10,5,1,4,4.4,19
385743,tureavanture,8,22,18,4,4.5,8
385629,tureavanture,122,716,599,117,2.4,57
385706,tureavanture,158,1264,1055,209,4.6,63
385696,tureavanture,44,53,43,10,5.0,23
386435,tureavanture,0,0,0,0,2.0,35
386438,tureavanture,50,169,136,33,2.1,20
386381,tureavanture,312,1998,1497,501,3.9,63
386345,tureavanture,96,532,307,225,3.2,40
386277,tureavanture,62,394,241,153,4.7,42
385738,tureavanture,0,0,0,0,-1,0
386469,kultura,0,0,0,0,0.0,0
386464,kultura,6,7,3,4,5.0,6
386456,kultura,2,1,1,0,5.0,5
386453,kultura,2,3,3,0,4.8,4
386446,kultura,2,0,0,0,3.0,4
386443,kultura,10,23,19,4,3.1,11
386437,kultura,6,12,12,0,5.0,2
386426,kultura,0,0,0,0,1.0,1
386423,kultura,0,0,0,0,0.0,0
386420,kultura,0,0,0,0,3.5,6
386415,kultura,18,6,5,1,4.0,8
386393,kultura,2,0,0,0,5.0,10
386389,kultura,0,0,0,0,4.0,9
386387,kultura,4,0,0,0,4.7,6
386378,kultura,10,4,4,0,5.0,2
386373,kultura,10,21,17,4,4.7,14
386368,kultura,0,0,0,0,3.0,2
386364,kultura,2,1,1,0,3.7,3
386354,kultura,16,15,12,3,4.1,9
386336,kultura,26,136,93,43,3.0,28
386469,kultura,0,0,0,0,0.0,0
386435,kultura,0,0,0,0,2.0,35
386438,kultura,50,169,136,33,2.1,20
386381,kultura,312,1998,1497,501,3.9,63
386345,kultura,96,532,307,225,3.2,40
386277,kultura,62,394,241,153,4.7,42
385738,kultura,0,0,0,0,-1,0
386454,novice,38,144,73,71,-1,0
386448,novice,198,1456,965,491,-1,0
386435,novice,0,0,0,0,-1,0
386451,novice,0,0,0,0,-1,0
386433,novice,296,2789,1694,1095,-1,0
386455,novice,6,2,2,0,-1,0
386403,novice,492,4550,3228,1322,-1,0
386442,novice,20,44,26,18,-1,0
386410,novice,124,835,426,409,-1,0
386458,novice,8,10,9,1,-1,0
386194,novice,160,827,714,113,-1,0
386282,novice,84,401,351,50,-1,0
386277,novice,62,394,241,153,-1,0
386312,novice,16,66,55,11,-1,0
386301,novice,88,460,336,124,-1,0
386154,novice,60,174,125,49,-1,0
386413,novice,0,0,0,0,-1,0
386447,novice,56,201,134,67,-1,0
386374,novice,54,313,275,38,-1,0
386355,novice,0,0,0,0,-1,0
386362,novice,348,2564,1940,624,-1,0
386407,novice,234,1096,818,278,-1,0
386475,novice,6,8,8,0,-1,0
386424,novice,120,671,394,277,-1,0
386407,novice,234,1097,819,278,-1,0
386445,novice,38,99,67,32,-1,0
386377,novice,120,431,328,103,-1,0
386287,novice,190,1238,890,348,-1,0
386323,novice,58,170,105,65,-1,0
386277,novice,62,394,241,153,-1,0
386275,novice,24,118,118,0,-1,0
386220,novice,238,1438,1072,366,-1,0
386452,novice,2,0,0,0,-1,0
386458,novice,8,10,9,1,-1,0
385738,novice,0,0,0,0,-1,0
386071,novice,4,0,0,0,-1,0
386416,novice,0,0,0,0,-1,0
386414,novice,0,0,0,0,-1,0
386411,novice,0,0,0,0,-1,0
386167,novice,0,0,0,0,-1,0
386452,novice,2,0,0,0,-1,0
386461,novice,2,0,0,0,-1,0
386258,novice,56,446,313,133,-1,0
386197,novice,138,1510,1056,454,-1,0
386438,novice,50,169,136,33,-1,0
386381,novice,312,1998,1497,501,-1,0
386345,novice,96,532,307,225,-1,0
386277,novice,62,394,241,153,-1,0
385738,novice,0,0,0,0,-1,0
386283,novice,0,0,0,0,-1,0
